sample_number,site_id,date,sample_type,method,ng_m_l,lake,site_type,depth_category,ng_g_resin,congener,value
139,BKS_UB_BU_SS,2025-07-09,regular,grab,NA,upper brooks,buoy,surface,NA,atx,0
139,BKS_UB_BU_SS,2025-07-09,regular,grab,NA,upper brooks,buoy,surface,NA,hatx,0
139,BKS_UB_BU_SS,2025-07-09,regular,grab,NA,upper brooks,buoy,surface,NA,cyl,0
140,BKS_UB_BU_DD,2025-07-09,regular,grab,NA,upper brooks,buoy,bottom,NA,rr,0
140,BKS_UB_BU_DD,2025-07-09,regular,grab,NA,upper brooks,buoy,bottom,NA,yr,0
140,BKS_UB_BU_DD,2025-07-09,regular,grab,NA,upper brooks,buoy,bottom,NA,lr,0
140,BKS_UB_BU_DD,2025-07-09,regular,grab,NA,upper brooks,buoy,bottom,NA,la,0
140,BKS_UB_BU_DD,2025-07-09,regular,grab,NA,upper brooks,buoy,bottom,NA,dm_lr,0
140,BKS_UB_BU_DD,2025-07-09,regular,grab,NA,upper brooks,buoy,bottom,NA,ly,0
140,BKS_UB_BU_DD,2025-07-09,regular,grab,NA,upper brooks,buoy,bottom,NA,nod,0
140,BKS_UB_BU_DD,2025-07-09,regular,grab,NA,upper brooks,buoy,bottom,NA,lf,0
140,BKS_UB_BU_DD,2025-07-09,regular,grab,NA,upper brooks,buoy,bottom,NA,wr,0
140,BKS_UB_BU_DD,2025-07-09,regular,grab,NA,upper brooks,buoy,bottom,NA,atx,0
140,BKS_UB_BU_DD,2025-07-09,regular,grab,NA,upper brooks,buoy,bottom,NA,hatx,0
140,BKS_UB_BU_DD,2025-07-09,regular,grab,NA,upper brooks,buoy,bottom,NA,cyl,0
141,BKS_RN_SH_10,2025-07-09,regular,grab,NA,rainbow,shore,NA,NA,rr,0.054788951
141,BKS_RN_SH_10,2025-07-09,regular,grab,NA,rainbow,shore,NA,NA,yr,0
141,BKS_RN_SH_10,2025-07-09,regular,grab,NA,rainbow,shore,NA,NA,lr,0.536381161
141,BKS_RN_SH_10,2025-07-09,regular,grab,NA,rainbow,shore,NA,NA,la,0
141,BKS_RN_SH_10,2025-07-09,regular,grab,NA,rainbow,shore,NA,NA,dm_lr,0
141,BKS_RN_SH_10,2025-07-09,regular,grab,NA,rainbow,shore,NA,NA,ly,0
141,BKS_RN_SH_10,2025-07-09,regular,grab,NA,rainbow,shore,NA,NA,nod,0
141,BKS_RN_SH_10,2025-07-09,regular,grab,NA,rainbow,shore,NA,NA,lf,0
141,BKS_RN_SH_10,2025-07-09,regular,grab,NA,rainbow,shore,NA,NA,wr,0
141,BKS_RN_SH_10,2025-07-09,regular,grab,NA,rainbow,shore,NA,NA,atx,0
141,BKS_RN_SH_10,2025-07-09,regular,grab,NA,rainbow,shore,NA,NA,hatx,0
141,BKS_RN_SH_10,2025-07-09,regular,grab,NA,rainbow,shore,NA,NA,cyl,0
142,BKS_RN_BU_SS,2025-07-09,regular,grab,NA,rainbow,buoy,surface,NA,rr,0
142,BKS_RN_BU_SS,2025-07-09,regular,grab,NA,rainbow,buoy,surface,NA,yr,0
142,BKS_RN_BU_SS,2025-07-09,regular,grab,NA,rainbow,buoy,surface,NA,lr,0.428502817
142,BKS_RN_BU_SS,2025-07-09,regular,grab,NA,rainbow,buoy,surface,NA,la,0
142,BKS_RN_BU_SS,2025-07-09,regular,grab,NA,rainbow,buoy,surface,NA,dm_lr,0
142,BKS_RN_BU_SS,2025-07-09,regular,grab,NA,rainbow,buoy,surface,NA,ly,0
142,BKS_RN_BU_SS,2025-07-09,regular,grab,NA,rainbow,buoy,surface,NA,nod,0
142,BKS_RN_BU_SS,2025-07-09,regular,grab,NA,rainbow,buoy,surface,NA,lf,0
142,BKS_RN_BU_SS,2025-07-09,regular,grab,NA,rainbow,buoy,surface,NA,wr,0
142,BKS_RN_BU_SS,2025-07-09,regular,grab,NA,rainbow,buoy,surface,NA,atx,0
142,BKS_RN_BU_SS,2025-07-09,regular,grab,NA,rainbow,buoy,surface,NA,hatx,0
142,BKS_RN_BU_SS,2025-07-09,regular,grab,NA,rainbow,buoy,surface,NA,cyl,0
143,BKS_RN_BU_DD,2025-07-09,regular,grab,NA,rainbow,buoy,bottom,NA,rr,0
143,BKS_RN_BU_DD,2025-07-09,regular,grab,NA,rainbow,buoy,bottom,NA,yr,0
143,BKS_RN_BU_DD,2025-07-09,regular,grab,NA,rainbow,buoy,bottom,NA,lr,0.417464103
143,BKS_RN_BU_DD,2025-07-09,regular,grab,NA,rainbow,buoy,bottom,NA,la,0
143,BKS_RN_BU_DD,2025-07-09,regular,grab,NA,rainbow,buoy,bottom,NA,dm_lr,0
143,BKS_RN_BU_DD,2025-07-09,regular,grab,NA,rainbow,buoy,bottom,NA,ly,0
143,BKS_RN_BU_DD,2025-07-09,regular,grab,NA,rainbow,buoy,bottom,NA,nod,0
143,BKS_RN_BU_DD,2025-07-09,regular,grab,NA,rainbow,buoy,bottom,NA,lf,0
