sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,total
177,BKS_UB_BU_SS,2025-07-22,upper brooks,buoy,surface,grab,cylindrospermopsin,0
177,BKS_UB_BU_SS,2025-07-22,upper brooks,buoy,surface,grab,microcystin,0
177,BKS_UB_BU_SS,2025-07-22,upper brooks,buoy,surface,grab,nodularin,0
178,BKS_UB_BU_DD,2025-07-22,upper brooks,buoy,bottom,grab,anatoxin,0
178,BKS_UB_BU_DD,2025-07-22,upper brooks,buoy,bottom,grab,cylindrospermopsin,0
178,BKS_UB_BU_DD,2025-07-22,upper brooks,buoy,bottom,grab,microcystin,0
178,BKS_UB_BU_DD,2025-07-22,upper brooks,buoy,bottom,grab,nodularin,0
179,BKS_RN_SH_10,2025-07-22,rainbow,shore,NA,grab,anatoxin,0
179,BKS_RN_SH_10,2025-07-22,rainbow,shore,NA,grab,cylindrospermopsin,0
179,BKS_RN_SH_10,2025-07-22,rainbow,shore,NA,grab,microcystin,3.2706047899999997
179,BKS_RN_SH_10,2025-07-22,rainbow,shore,NA,grab,nodularin,0
180,BKS_RN_BU_SS,2025-07-22,rainbow,buoy,surface,grab,anatoxin,0
180,BKS_RN_BU_SS,2025-07-22,rainbow,buoy,surface,grab,cylindrospermopsin,0
180,BKS_RN_BU_SS,2025-07-22,rainbow,buoy,surface,grab,microcystin,1.005777396
180,BKS_RN_BU_SS,2025-07-22,rainbow,buoy,surface,grab,nodularin,0
181,BKS_RN_BU_DD,2025-07-22,rainbow,buoy,bottom,grab,anatoxin,0
181,BKS_RN_BU_DD,2025-07-22,rainbow,buoy,bottom,grab,cylindrospermopsin,0
181,BKS_RN_BU_DD,2025-07-22,rainbow,buoy,bottom,grab,microcystin,0.695940758
181,BKS_RN_BU_DD,2025-07-22,rainbow,buoy,bottom,grab,nodularin,0
182,BKS_LJ_BU_SS,2025-07-22,lower jade,buoy,surface,grab,anatoxin,0
182,BKS_LJ_BU_SS,2025-07-22,lower jade,buoy,surface,grab,cylindrospermopsin,0
182,BKS_LJ_BU_SS,2025-07-22,lower jade,buoy,surface,grab,microcystin,0.488713986
182,BKS_LJ_BU_SS,2025-07-22,lower jade,buoy,surface,grab,nodularin,0
183,BKS_LJ_BU_DD,2025-07-22,lower jade,buoy,bottom,grab,anatoxin,0
183,BKS_LJ_BU_DD,2025-07-22,lower jade,buoy,bottom,grab,cylindrospermopsin,0
183,BKS_LJ_BU_DD,2025-07-22,lower jade,buoy,bottom,grab,microcystin,0
183,BKS_LJ_BU_DD,2025-07-22,lower jade,buoy,bottom,grab,nodularin,0
185,BYS_BR_SH_01,2025-07-21,boysen,shore,NA,grab,anatoxin,0
185,BYS_BR_SH_01,2025-07-21,boysen,shore,NA,grab,cylindrospermopsin,0
185,BYS_BR_SH_01,2025-07-21,boysen,shore,NA,grab,microcystin,0.837687884
185,BYS_BR_SH_01,2025-07-21,boysen,shore,NA,grab,nodularin,0
186,BYS_PC_SH_02,2025-07-21,boysen,shore,NA,grab,anatoxin,0
186,BYS_PC_SH_02,2025-07-21,boysen,shore,NA,grab,cylindrospermopsin,0
186,BYS_PC_SH_02,2025-07-21,boysen,shore,NA,grab,microcystin,0
186,BYS_PC_SH_02,2025-07-21,boysen,shore,NA,grab,nodularin,0
187,BYS_FR_SH_03,2025-07-21,boysen,shore,NA,grab,anatoxin,0
187,BYS_FR_SH_03,2025-07-21,boysen,shore,NA,grab,cylindrospermopsin,0
187,BYS_FR_SH_03,2025-07-21,boysen,shore,NA,grab,microcystin,0
187,BYS_FR_SH_03,2025-07-21,boysen,shore,NA,grab,nodularin,0
