sample_number,site_id,date,method,sample_type,status,lake,site_type,depth_category,has_grab_result,has_spatt_result,status_final
154,BYS_PC_SH_02,2025-07-10,grab,duplicate,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
155,GRAB_BLANK,2025-07-09,grab,blank,shipped,blank,NA,NA,TRUE,FALSE,analyzed
156,BYS_BR_SH_01,2025-07-21,spatt,regular,shipped,boysen,shore,NA,FALSE,TRUE,analyzed
157,BYS_PC_SH_02,2025-07-21,spatt,regular,collected,boysen,shore,NA,FALSE,FALSE,collected
158,BYS_FR_SH_03,2025-07-21,spatt,regular,shipped,boysen,shore,NA,FALSE,TRUE,analyzed
159,BYS_CR_SH_04,2025-07-21,spatt,regular,lost,boysen,shore,NA,FALSE,FALSE,lost
160,BYS_BY_BU_SS,2025-07-30,spatt,regular,collected,boysen,buoy,surface,FALSE,FALSE,collected
161,BYS_BY_BU_DD,2025-07-30,spatt,regular,collected,boysen,buoy,bottom,FALSE,FALSE,collected
162,BYS_PC_SH_02,2025-07-21,spatt,duplicate,shipped,boysen,shore,NA,FALSE,TRUE,analyzed
163,SPATT_BLANK,2025-07-22,spatt,blank,shipped,blank,NA,NA,FALSE,TRUE,analyzed
164,BKS_BL_SH_01,2025-07-21,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
165,BKS_BL_SH_02,2025-07-21,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
166,BKS_BL_SH_03,2025-07-21,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
167,BKS_BL_SH_04,2025-07-21,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
168,BKS_BL_SH_05,2025-07-23,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
169,BKS_BL_SH_06,2025-07-23,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
170,BKS_BL_SH_07,2025-07-23,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
171,BKS_BL_BON,2025-07-23,grab,regular,collected,brooks,NA,NA,FALSE,FALSE,collected
172,BKS_BL_CREEK,2025-07-23,grab,regular,collected,brooks,NA,NA,FALSE,FALSE,collected
173,BKS_BL_BU_SS,2025-07-23,grab,regular,shipped,brooks,buoy,surface,TRUE,FALSE,analyzed
174,BKS_BL_BU_DD,2025-07-23,grab,regular,shipped,brooks,buoy,bottom,TRUE,FALSE,analyzed
175,BKS_UB_SH_08,2025-07-22,grab,regular,shipped,upper brooks,shore,NA,TRUE,FALSE,analyzed
176,BKS_UB_SH_09,2025-07-22,grab,regular,shipped,upper brooks,shore,NA,TRUE,FALSE,analyzed
177,BKS_UB_BU_SS,2025-07-22,grab,regular,shipped,upper brooks,buoy,surface,TRUE,FALSE,analyzed
